maxid,Genus,Species,Phylum,Class,CellType,CellSubType,LambdaMax,error,Chromophore,Stage,opsinid,refid
1,Acipenser,transmontanus,Chordata,,rod,,540,0,,adult,463,30
2,Acipenser,transmontanus,Chordata,,cone,,464,0,,adult,0,30
3,Acipenser,transmontanus,Chordata,,cone,,531,0,,adult,0,30
4,Acipenser,transmontanus,Chordata,,cone,,605,0,,adult,0,30
5,Acipenser,medirostris,Chordata,,rod,,540,0,,adult,0,43
6,Acipenser,medirostris,Chordata,,cone,single,465,0,,adult,0,43
7,Acipenser,medirostris,Chordata,,cone,single,538,0,,adult,0,43
8,Acipenser,medirostris,Chordata,,cone,single,614,0,,adult,0,43
9,Cymatogaster,aggregata,Chordata,,rod,,500,0,,adult,0,5
10,Cymatogaster,aggregata,Chordata,,cone,single,455,0,,adult,0,5
11,Cymatogaster,aggregata,Chordata,,cone,single,528,0,,adult,0,5
12,Cymatogaster,aggregata,Chordata,,cone,twin,532,0,,adult,0,5
13,Amia,calva,Chordata,,rod,,527,2,,adult,0,6
14,Amia,calva,Chordata,,cone,single,457,5,,adult,0,6
15,Amia,calva,Chordata,,cone,single,556,2,,adult,0,6
16,Amia,calva,Chordata,,cone,single,624,6,,adult,2475,6
17,Amia,calva,Chordata,,cone,double,556,2,,adult,0,6
18,Amia,calva,Chordata,,cone,twin,624,6,,adult,0,6
19,Gymnothorax,favagineus,Chordata,,rod,,487,5.4,,adult,0,47
20,Gymnothorax,favagineus,Chordata,,cone,single,501,7.7,,adult,0,47
21,Gymnothorax,reticularis,Chordata,,rod,,486,4,,adult,0,47
22,Gymnothorax,reticularis,Chordata,,cone,single,494,5.8,,adult,0,47
23,Rhinomuraena,quaesita,Chordata,,rod,,498,4.8,,adult,0,47
24,Rhinomuraena,quaesita,Chordata,,cone,single,493,7,,adult,0,47
25,Strophidon,sathete,Chordata,,rod,,487,4.8,,adult,0,47
26,Strophidon,sathete,Chordata,,cone,single,509,6.6,,adult,0,47
27,Atherina,boyeri,Chordata,,rod,,511,0,,adult,0,18
28,Atherina,boyeri,Chordata,,cone,single,570,0,,adult,0,18
29,Atherina,boyeri,Chordata,,cone,double,435,0,,adult,0,18
30,Atherina,boyeri,Chordata,,cone,twin,530,0,,adult,0,18
31,Melanotaenia,maccullochi,Chordata,,rod,,509,0,,adult,0,40
32,Melanotaenia,maccullochi,Chordata,,cone,single,377,0,,adult,0,40
33,Melanotaenia,maccullochi,Chordata,,cone,single,409,0,,adult,0,40
34,Melanotaenia,maccullochi,Chordata,,cone,single,443,0,,adult,0,40
35,Melanotaenia,maccullochi,Chordata,,cone,single,495,0,,adult,0,40
36,Melanotaenia,maccullochi,Chordata,,cone,single,528,0,,adult,0,40
37,Melanotaenia,maccullochi,Chordata,,cone,double,495,0,,adult,0,40
38,Melanotaenia,maccullochi,Chordata,,cone,double,528,0,,adult,0,40
39,Melanotaenia,maccullochi,Chordata,,cone,double,578,0,,adult,0,40
40,Marosatherina,ladigesi,Chordata,,rod,,507,0,,adult,0,40
41,Marosatherina,ladigesi,Chordata,,cone,single,368,0,,adult,0,40
42,Marosatherina,ladigesi,Chordata,,cone,single,452,0,,adult,0,40
43,Marosatherina,ladigesi,Chordata,,cone,single,461,0,,adult,0,40
44,Marosatherina,ladigesi,Chordata,,cone,single,481,0,,adult,0,40
45,Marosatherina,ladigesi,Chordata,,cone,single,531,0,,adult,0,40
46,Marosatherina,ladigesi,Chordata,,cone,single,557,0,,adult,0,40
47,Marosatherina,ladigesi,Chordata,,cone,double,452,0,,adult,0,40
48,Marosatherina,ladigesi,Chordata,,cone,double,461,0,,adult,0,40
49,Marosatherina,ladigesi,Chordata,,cone,double,531,0,,adult,0,40
50,Marosatherina,ladigesi,Chordata,,cone,double,557,0,,adult,0,40
51,Synodus,variegatus,Chordata,,rod,,493,0,,adult,0,32
52,Synodus,variegatus,Chordata,,cone,single,368,0,,adult,0,32
53,Synodus,variegatus,Chordata,,cone,double,482,0,,adult,0,32
54,Synodus,variegatus,Chordata,,cone,double,503,0,,adult,0,32
55,Belone,belone,Chordata,,rod,,509,0,,adult,0,40
56,Belone,belone,Chordata,,cone,single,422,0,,adult,0,40
57,Belone,belone,Chordata,,cone,single,508,0,,adult,0,40
58,Belone,belone,Chordata,,cone,twin,508,0,,adult,0,40
59,Dermogenys,pusilla,Chordata,,rod,,507,0,,adult,0,40
60,Dermogenys,pusilla,Chordata,,cone,single,377,0,,adult,0,40
61,Dermogenys,pusilla,Chordata,,cone,single,526,0,,adult,0,40
62,Dermogenys,pusilla,Chordata,,cone,single,572,0,,adult,0,40
63,Dermogenys,pusilla,Chordata,,cone,double,483,0,,adult,0,40
64,Dermogenys,pusilla,Chordata,,cone,double,526,0,,adult,0,40
65,Dermogenys,pusilla,Chordata,,cone,double,572,0,,adult,0,40
66,Dermogenys,pusilla,Chordata,,cone,double,545,0,,adult,0,40
67,Myripristis,berndti,Chordata,,rod,,495,0,,adult,0,32
68,Myripristis,berndti,Chordata,,cone,double,514,1.4,,adult,0,32
69,Myripristis,berndti,Chordata,,cone,double,506,0,,adult,0,32
70,Neoniphon,sammara,Chordata,,rod,,502,0.3,,adult,0,32
71,Neoniphon,sammara,Chordata,,cone,single,446,0,,adult,0,32
72,Neoniphon,sammara,Chordata,,cone,double,512,3,,adult,0,32
73,Sargocentron,xantherythrum,Chordata,,rod,,490,1.4,,adult,0,32
74,Sargocentron,xantherythrum,Chordata,,cone,single,447,2.8,,adult,0,32
75,Sargocentron,xantherythrum,Chordata,,cone,double,516,1,,adult,0,32
76,Sargocentron,xantherythrum,Chordata,,cone,double,509,2.4,,adult,0,32
77,Neoceratodus,forsteri,Chordata,,rod,,540,0,,adult,0,19
78,Neoceratodus,forsteri,Chordata,,cone,single,479,0,,adult,0,19
79,Neoceratodus,forsteri,Chordata,,cone,single,558,0,,adult,0,19
80,Neoceratodus,forsteri,Chordata,,cone,single,623,0,,adult,22,19
81,Astyanax,fasciatus,Chordata,,rod,,520,0,,adult,0,37
82,Astyanax,fasciatus,Chordata,,cone,single,449,0,,adult,0,37
83,Astyanax,fasciatus,Chordata,,cone,single,547,0,,adult,0,37
84,Astyanax,fasciatus,Chordata,,cone,single,572,0,,adult,0,37
85,Astyanax,fasciatus,Chordata,,cone,double,547,0,,adult,0,37
86,Astyanax,fasciatus,Chordata,,cone,double,572,0,,adult,0,37
87,Alosa,kessleri,Chordata,,rod,,510,0,,adult,0,18
88,Alosa,kessleri,Chordata,,cone,single,509,0,,adult,0,18
89,Alosa,kessleri,Chordata,,cone,single,557,0,,adult,0,18
90,Alosa,kessleri,Chordata,,cone,double,509,0,,adult,0,18
91,Alosa,kessleri,Chordata,,cone,double,557,0,,adult,0,18
92,Alosa,kessleri,Chordata,,cone,twin,557,0,,adult,0,18
93,Clupea,pallasii,Chordata,,rod,,501,0,,adult,0,5
94,Clupea,pallasii,Chordata,,cone,single,514,0,,adult,0,5
95,Clupea,pallasii,Chordata,,cone,double,515,0,,adult,0,5
96,Clupea,pallasii,Chordata,,cone,double,534,0,,adult,0,5
97,Clupea,pallasii,Chordata,,cone,twin,529,0,,adult,0,5
98,Sardinops,melanostictus,Chordata,,rod,,502,2,,adult,0,35
99,Sardinops,melanostictus,Chordata,,cone,single,393,3,,adult,2476,35
100,Sardinops,melanostictus,Chordata,,cone,double,493,3,,adult,0,35
101,Sardinops,melanostictus,Chordata,,cone,double,522,2,,adult,0,35
102,Sardinops,melanostictus,Chordata,,cone,double,542,3,,adult,0,35
103,Engraulis,mordax,Chordata,,rod,,498,0,,adult,0,5
104,Engraulis,mordax,Chordata,,cone,single,530,0,,adult,0,5
105,Engraulis,mordax,Chordata,,cone,twin,532,0,,adult,0,5
106,Engraulis,encrasicolus,Chordata,,rod,,500,0,,adult,0,25
107,Engraulis,encrasicolus,Chordata,,cone,single,492,0,,adult,0,25
108,Engraulis,encrasicolus,Chordata,,cone,single,500,0,,adult,0,25
109,Engraulis,encrasicolus,Chordata,,cone,triple,474,0,,adult,0,25
110,Engraulis,encrasicolus,Chordata,,cone,triple,500,0,,adult,0,25
111,Engraulis,japonicus,Chordata,,rod,,502,0,Vitamin A1-based,adult,473,25
112,Engraulis,japonicus,Chordata,,cone,single,492,0,Vitamin A1-based,adult,0,25
113,Engraulis,japonicus,Chordata,,cone,single,502,0,Vitamin A1-based,adult,0,25
114,Engraulis,japonicus,Chordata,,cone,triple,478,0,Vitamin A1-based,adult,0,25
115,Engraulis,japonicus,Chordata,,cone,triple,502,0,Vitamin A1-based,adult,0,25
116,Abramis,ballerus,Chordata,,rod,,518,0,,adult,0,22
117,Abramis,ballerus,Chordata,,cone,single,451,0,,adult,0,22
118,Abramis,ballerus,Chordata,,cone,single,537,0,,adult,0,22
119,Abramis,ballerus,Chordata,,cone,single,620,0,,adult,0,22
120,Abramis,ballerus,Chordata,,cone,double,537,0,,adult,0,22
121,Abramis,ballerus,Chordata,,cone,double,620,0,,adult,0,22
122,Abramis,brama,Chordata,,rod,,537,0,,adult,0,22
123,Abramis,brama,Chordata,,cone,single,451,0,,adult,0,22
124,Abramis,brama,Chordata,,cone,single,537,0,,adult,0,22
125,Abramis,brama,Chordata,,cone,single,620,0,,adult,0,22
126,Abramis,brama,Chordata,,cone,double,537,0,,adult,0,22
127,Abramis,brama,Chordata,,cone,double,620,0,,adult,0,22
128,Alburnus,alburnus,Chordata,,rod,,517,0,,adult,0,22
129,Alburnus,alburnus,Chordata,,cone,single,440,0,,adult,0,22
130,Alburnus,alburnus,Chordata,,cone,single,523,0,,adult,0,22
131,Alburnus,alburnus,Chordata,,cone,single,571,0,,adult,0,22
132,Blicca,bjoerkna,Chordata,,rod,,539,0,,adult,0,22
133,Blicca,bjoerkna,Chordata,,cone,single,444,0,,adult,0,22
134,Blicca,bjoerkna,Chordata,,cone,single,533,0,,adult,0,22
135,Blicca,bjoerkna,Chordata,,cone,single,603,0,,adult,0,22
136,Carassius,auratus,Chordata,,rod,,521,0,,adult,0,3
137,Carassius,auratus,Chordata,,cone,single,360,0,,adult,0,3
138,Carassius,auratus,Chordata,,cone,single,452,0,,adult,0,3
139,Carassius,auratus,Chordata,,cone,single,532,0,,adult,0,3
140,Carassius,auratus,Chordata,,cone,single,614,0,,adult,0,3
141,Carassius,auratus,Chordata,,cone,double,532,0,,adult,0,3
